id;name;category_id
218;Intretinere si remodelare corporala;15
219;Tratamente faciale;15
220;Aparatura profesionala;15
221;Produse profesionale;15
222;Machiaj / Make-up;15
223;Cosmetica;15
224;Saloane de bronzat;15
225;Frizerie / Barber-shop;15
226;Tatuaje si piercing;15
227;Unghii tehnice;15
228;Alte servicii de infrumusetare;15
229;Laminare gene - sprancene;15
230;Centre Spa si Wellness;16
231;Masaj;16
232;Aparatura si mobilier masaj;16
233;Centre de meditatii;16
234;Alte servicii de relaxare;16
235;Organizatori evenimente;17
236;Sali de evenimente;17
237;Dj;17
238;Formatii si interpreti de muzica;17
239;Lumini si fum;17
240;Staroste;17
241;Ursitoare;17
242;Animatori pentru copii;17
243;MC si prezentatori;17
244;Foto;17
245;Video;17
246;Gheata carbonica;17
247;Artificii;17
248;Show-uri de comedie si divertisment;17
249;Show-uri pentru adulti;17
250;Hostess;17
251;Modele;17
252;Bar mobil;17
253;Candy bar;17
254;Decoratii si decoratiuni;17
255;Inchirieri vesela si tacamuri;17
256;Inchirieri si vanzari vestimentare;17
257;Mijloace de transport pentru evenimente si ceremonii;17
258;Personal de ocazie (Organizari evenimente);17
259;Catering;17
260;Foodtruck si restaurante mobile;17
261;Inchirieri sisteme de sonorizare;17
262;Invitatii;17
263;Marturii;17
264;Toalete ecologice;17
265;Alte servicii de organizari evenimente;17
266;Baby-sitter;18
267;Locuri si centre de joaca pentru copii;18
268;Gradinite si crese private;18
269;Cursuri pentru gravide;18
270;Consultanti in alaptare;18
271;Articole vestimentare si incaltaminte;18
272;Jucarii;18
273;Carucioare, mobilier si alte articole;18
274;After-school;18
275;Profesori de sprijin;18
276;Terapie asistata de animale;18
277;Alte servicii pentru copii;18
278;Camine pentru batrani;19
279;Centre de zi;19
280;Cluburi de seniori;19
281;Ingrijire la domiciliu;19
282;Alte servicii pentru varstnici;19
283;Cabinete veterinare;20
284;Clinici veterinare;20
285;Farmacii veterinare;20
286;Asistenta medicala veterinare la domiciliu;20
287;Toaletaj;20
288;Toaletaj la domiciliu;20
289;Pet shop-uri si magazine de accesorii;20
290;Hoteluri si pensiuni pentru animale;20
291;Dresaj;20
292;Transport animale de companie;20
293;Radiologie si imagistica veterinara;20
